0	0	0	0	0	0	0	0	16.9	16.28	17.52	1	0.963	1.037
1	0	0	0	0	0	0	0	12.69	12.79	12.59	0.751	0.757	0.745
0	1	0	0	0	0	0	0	13.06	14.21	11.91	0.773	0.841	0.705
0	0	1	0	0	0	0	0	11.79	12.71	10.87	0.698	0.752	0.643
0	0	0	1	0	0	0	0	12.79	12.38	13.2	0.757	0.733	0.781
0	0	0	0	1	0	0	0	13.97	13.03	14.9	0.826	0.771	0.882
0	0	0	0	0	1	0	0	0	0	0	0	0	0
0	0	0	0	0	0	1	0	10.11	9.03	11.19	0.598	0.534	0.662
0	0	0	0	0	0	0	1	10.62	10.46	10.78	0.628	0.619	0.638
1	1	0	0	0	0	0	0	14.04	13.89	14.18	0.83	0.822	0.839
1	0	1	0	0	0	0	0	12.93	12.75	13.11	0.765	0.754	0.776
1	0	0	1	0	0	0	0	14.03	14.03	14.03	0.83	0.83	0.83
1	0	0	0	1	0	0	0	16.45	16.85	16.04	0.973	0.997	0.949
1	0	0	0	0	1	0	0	12.62	12.27	12.97	0.747	0.726	0.767
1	0	0	0	0	0	1	0	12.13	11.9	12.35	0.717	0.704	0.731
1	0	0	0	0	0	0	1	15.15	14.34	15.95	0.896	0.849	0.944
0	1	1	0	0	0	0	0	12.64	13.02	12.25	0.748	0.77	0.725
0	1	0	1	0	0	0	0	12.34	13	11.68	0.73	0.769	0.691
0	1	0	0	1	0	0	0	14.42	15.09	13.74	0.853	0.893	0.813
0	1	0	0	0	1	0	0	0	0	0	0	0	0
0	1	0	0	0	0	1	0	10.11	10.65	9.56	0.598	0.63	0.566
0	1	0	0	0	0	0	1	12.87	13.11	12.63	0.762	0.776	0.747
0	0	1	1	0	0	0	0	11.25	10.85	11.65	0.666	0.642	0.689
0	0	1	0	1	0	0	0	12.28	12.64	11.91	0.726	0.748	0.705
0	0	1	0	0	1	0	0	12.21	12.7	11.71	0.722	0.751	0.693
0	0	1	0	0	0	1	0	8.65	8.46	8.84	0.512	0.501	0.523
0	0	1	0	0	0	0	1	12.15	12.17	12.13	0.719	0.72	0.718
0	0	0	1	1	0	0	0	12.35	12.45	12.25	0.731	0.737	0.725
0	0	0	1	0	1	0	0	12.27	12.27	12.27	0.726	0.726	0.726
0	0	0	1	0	0	1	0	10.22	9.94	10.49	0.604	0.588	0.621
0	0	0	1	0	0	0	1	11.36	11.6	11.12	0.672	0.686	0.658
0	0	0	0	1	1	0	0	10.98	10.22	11.73	0.649	0.605	0.694
0	0	0	0	1	0	1	0	10.41	10.77	10.05	0.616	0.637	0.595
0	0	0	0	1	0	0	1	0	0	0	0	0	0
0	0	0	0	0	1	1	0	0	0	0	0	0	0
0	0	0	0	0	1	0	1	14.01	14.47	13.55	0.829	0.856	0.802
0	0	0	0	0	0	1	1	15.97	16.72	15.22	0.945	0.989	0.901
1	1	1	0	0	0	0	0	13.23	13.45	13	0.783	0.796	0.769
1	1	0	1	0	0	0	0	0	0	0	0	0	0
1	1	0	0	1	0	0	0	12.68	12.96	12.39	0.75	0.767	0.733
